"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-05-19,1,2023-05-19,0,"fdom",16.4067712535245,"total"
"2",2023-05-20,1,2023-05-19,-1,"fdom",15.6927523010439,"total"
"3",2023-05-21,1,2023-05-19,-2,"fdom",14.6263777348756,"total"
"4",2023-05-22,1,2023-05-19,-3,"fdom",14.1585754304731,"total"
"5",2023-05-23,1,2023-05-19,-4,"fdom",14.6466661525375,"total"
"6",2023-05-24,1,2023-05-19,-5,"fdom",14.294055366141,"total"
"7",2023-05-25,1,2023-05-19,-6,"fdom",13.9962956172058,"total"
"8",2023-05-26,1,2023-05-19,-7,"fdom",14.6417084658775,"total"
"9",2023-05-27,1,2023-05-19,-8,"fdom",14.5571732603508,"total"
"10",2023-05-28,1,2023-05-19,-9,"fdom",13.8174553686185,"total"
"11",2023-05-29,1,2023-05-19,-10,"fdom",13.4117760947933,"total"
"12",2023-05-30,1,2023-05-19,-11,"fdom",13.20212757435,"total"
"13",2023-05-31,1,2023-05-19,-12,"fdom",13.5575529675514,"total"
"14",2023-06-01,1,2023-05-19,-13,"fdom",13.1712694749004,"total"
"15",2023-06-02,1,2023-05-19,-14,"fdom",12.5511863031131,"total"
"16",2023-06-03,1,2023-05-19,-15,"fdom",11.7895899546266,"total"
"17",2023-06-04,1,2023-05-19,-16,"fdom",12.535310809845,"total"
"18",2023-05-19,2,2023-05-19,0,"fdom",16.3031540063855,"total"
"19",2023-05-20,2,2023-05-19,-1,"fdom",16.3145648148776,"total"
"20",2023-05-21,2,2023-05-19,-2,"fdom",16.9110294583952,"total"
"21",2023-05-22,2,2023-05-19,-3,"fdom",17.2855532451743,"total"
"22",2023-05-23,2,2023-05-19,-4,"fdom",17.5602842680729,"total"
"23",2023-05-24,2,2023-05-19,-5,"fdom",18.3752148734581,"total"
"24",2023-05-25,2,2023-05-19,-6,"fdom",18.8993795308513,"total"
"25",2023-05-26,2,2023-05-19,-7,"fdom",18.5374037892691,"total"
"26",2023-05-27,2,2023-05-19,-8,"fdom",18.1325207303261,"total"
"27",2023-05-28,2,2023-05-19,-9,"fdom",18.1462419911523,"total"
"28",2023-05-29,2,2023-05-19,-10,"fdom",17.7761136308337,"total"
"29",2023-05-30,2,2023-05-19,-11,"fdom",18.0520657891492,"total"
"30",2023-05-31,2,2023-05-19,-12,"fdom",17.6382164209493,"total"
"31",2023-06-01,2,2023-05-19,-13,"fdom",18.0616984539345,"total"
"32",2023-06-02,2,2023-05-19,-14,"fdom",18.0819861959789,"total"
"33",2023-06-03,2,2023-05-19,-15,"fdom",18.184932788992,"total"
"34",2023-06-04,2,2023-05-19,-16,"fdom",18.9069165984877,"total"
"35",2023-05-19,3,2023-05-19,0,"fdom",16.4589427514481,"total"
"36",2023-05-20,3,2023-05-19,-1,"fdom",16.0003512915449,"total"
"37",2023-05-21,3,2023-05-19,-2,"fdom",15.088370124307,"total"
"38",2023-05-22,3,2023-05-19,-3,"fdom",14.5774972950093,"total"
"39",2023-05-23,3,2023-05-19,-4,"fdom",13.7078716673244,"total"
"40",2023-05-24,3,2023-05-19,-5,"fdom",14.4586647328034,"total"
"41",2023-05-25,3,2023-05-19,-6,"fdom",13.4623063353193,"total"
"42",2023-05-26,3,2023-05-19,-7,"fdom",13.4014205777621,"total"
"43",2023-05-27,3,2023-05-19,-8,"fdom",12.9885104380749,"total"
"44",2023-05-28,3,2023-05-19,-9,"fdom",12.9235307997937,"total"
"45",2023-05-29,3,2023-05-19,-10,"fdom",12.9441841910343,"total"
"46",2023-05-30,3,2023-05-19,-11,"fdom",12.5650803729642,"total"
"47",2023-05-31,3,2023-05-19,-12,"fdom",13.3074897145044,"total"
"48",2023-06-01,3,2023-05-19,-13,"fdom",13.1368188859495,"total"
"49",2023-06-02,3,2023-05-19,-14,"fdom",12.8396388164257,"total"
"50",2023-06-03,3,2023-05-19,-15,"fdom",11.6247159661353,"total"
"51",2023-06-04,3,2023-05-19,-16,"fdom",11.1926689133362,"total"
"52",2023-05-19,4,2023-05-19,0,"fdom",16.4205025509837,"total"
"53",2023-05-20,4,2023-05-19,-1,"fdom",17.1854850694118,"total"
"54",2023-05-21,4,2023-05-19,-2,"fdom",17.3102309359502,"total"
"55",2023-05-22,4,2023-05-19,-3,"fdom",17.2103165546582,"total"
"56",2023-05-23,4,2023-05-19,-4,"fdom",16.6926050969382,"total"
"57",2023-05-24,4,2023-05-19,-5,"fdom",16.5514703958346,"total"
"58",2023-05-25,4,2023-05-19,-6,"fdom",16.1991932842296,"total"
"59",2023-05-26,4,2023-05-19,-7,"fdom",15.607782019737,"total"
"60",2023-05-27,4,2023-05-19,-8,"fdom",15.1900324520508,"total"
"61",2023-05-28,4,2023-05-19,-9,"fdom",14.8170849282959,"total"
"62",2023-05-29,4,2023-05-19,-10,"fdom",15.2512614239284,"total"
"63",2023-05-30,4,2023-05-19,-11,"fdom",16.3195214839139,"total"
"64",2023-05-31,4,2023-05-19,-12,"fdom",15.8659054631598,"total"
"65",2023-06-01,4,2023-05-19,-13,"fdom",16.477710833736,"total"
"66",2023-06-02,4,2023-05-19,-14,"fdom",17.1361796766458,"total"
"67",2023-06-03,4,2023-05-19,-15,"fdom",17.1046039744927,"total"
"68",2023-06-04,4,2023-05-19,-16,"fdom",17.7322878274481,"total"
"69",2023-05-19,5,2023-05-19,0,"fdom",16.558745465651,"total"
"70",2023-05-20,5,2023-05-19,-1,"fdom",15.9358579134978,"total"
"71",2023-05-21,5,2023-05-19,-2,"fdom",16.2116034825626,"total"
"72",2023-05-22,5,2023-05-19,-3,"fdom",16.2812126484626,"total"
"73",2023-05-23,5,2023-05-19,-4,"fdom",14.8946275089461,"total"
"74",2023-05-24,5,2023-05-19,-5,"fdom",15.2889017116352,"total"
"75",2023-05-25,5,2023-05-19,-6,"fdom",14.3348635635671,"total"
"76",2023-05-26,5,2023-05-19,-7,"fdom",14.2062971820213,"total"
"77",2023-05-27,5,2023-05-19,-8,"fdom",14.0419806587679,"total"
"78",2023-05-28,5,2023-05-19,-9,"fdom",14.0262166193196,"total"
"79",2023-05-29,5,2023-05-19,-10,"fdom",13.3821058798213,"total"
"80",2023-05-30,5,2023-05-19,-11,"fdom",12.5283620414135,"total"
"81",2023-05-31,5,2023-05-19,-12,"fdom",11.7597171306309,"total"
"82",2023-06-01,5,2023-05-19,-13,"fdom",12.1563724845723,"total"
"83",2023-06-02,5,2023-05-19,-14,"fdom",12.1507614689536,"total"
"84",2023-06-03,5,2023-05-19,-15,"fdom",11.489525214146,"total"
"85",2023-06-04,5,2023-05-19,-16,"fdom",10.9820530049788,"total"
"86",2023-05-19,6,2023-05-19,0,"fdom",16.2393878047044,"total"
"87",2023-05-20,6,2023-05-19,-1,"fdom",16.6658201081975,"total"
"88",2023-05-21,6,2023-05-19,-2,"fdom",15.977728655094,"total"
"89",2023-05-22,6,2023-05-19,-3,"fdom",15.451600708351,"total"
"90",2023-05-23,6,2023-05-19,-4,"fdom",14.7711673671745,"total"
"91",2023-05-24,6,2023-05-19,-5,"fdom",14.2492489072701,"total"
"92",2023-05-25,6,2023-05-19,-6,"fdom",14.9980801637736,"total"
"93",2023-05-26,6,2023-05-19,-7,"fdom",14.3514250328081,"total"
"94",2023-05-27,6,2023-05-19,-8,"fdom",14.4313248659959,"total"
"95",2023-05-28,6,2023-05-19,-9,"fdom",14.7737938758691,"total"
"96",2023-05-29,6,2023-05-19,-10,"fdom",14.5915819725221,"total"
"97",2023-05-30,6,2023-05-19,-11,"fdom",15.1258593390566,"total"
"98",2023-05-31,6,2023-05-19,-12,"fdom",16.1274721499811,"total"
"99",2023-06-01,6,2023-05-19,-13,"fdom",16.3397022265505,"total"
"100",2023-06-02,6,2023-05-19,-14,"fdom",15.5787398635528,"total"
