"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-06-27,1,2023-06-27,0,"fdom",19.0373802060172,"total"
"2",2023-06-28,1,2023-06-27,-1,"fdom",19.4354650706613,"total"
"3",2023-06-29,1,2023-06-27,-2,"fdom",18.776162161336,"total"
"4",2023-06-30,1,2023-06-27,-3,"fdom",18.7520151868353,"total"
"5",2023-07-01,1,2023-06-27,-4,"fdom",18.1984887887228,"total"
"6",2023-07-02,1,2023-06-27,-5,"fdom",17.920995229355,"total"
"7",2023-07-03,1,2023-06-27,-6,"fdom",17.9324129610216,"total"
"8",2023-07-04,1,2023-06-27,-7,"fdom",18.9948078908892,"total"
"9",2023-07-05,1,2023-06-27,-8,"fdom",18.7294165112552,"total"
"10",2023-07-06,1,2023-06-27,-9,"fdom",18.7234757658012,"total"
"11",2023-07-07,1,2023-06-27,-10,"fdom",18.5040880167899,"total"
"12",2023-07-08,1,2023-06-27,-11,"fdom",19.3746513079151,"total"
"13",2023-07-09,1,2023-06-27,-12,"fdom",18.3318410134194,"total"
"14",2023-07-10,1,2023-06-27,-13,"fdom",18.6732928934253,"total"
"15",2023-07-11,1,2023-06-27,-14,"fdom",18.8449160914096,"total"
"16",2023-07-12,1,2023-06-27,-15,"fdom",18.9233453918309,"total"
"17",2023-07-13,1,2023-06-27,-16,"fdom",19.2422045575659,"total"
"18",2023-06-27,2,2023-06-27,0,"fdom",19.1950928052267,"total"
"19",2023-06-28,2,2023-06-27,-1,"fdom",18.9948561698983,"total"
"20",2023-06-29,2,2023-06-27,-2,"fdom",19.7024011509763,"total"
"21",2023-06-30,2,2023-06-27,-3,"fdom",19.0290376981677,"total"
"22",2023-07-01,2,2023-06-27,-4,"fdom",19.2368002677941,"total"
"23",2023-07-02,2,2023-06-27,-5,"fdom",19.3236168331615,"total"
"24",2023-07-03,2,2023-06-27,-6,"fdom",19.5446073712344,"total"
