"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-08,1,2023-01-08,0,"fdom",16.7466433566434,"driver"
"2",2023-01-09,1,2023-01-08,-1,"fdom",16.7622093073477,"driver"
"3",2023-01-10,1,2023-01-08,-2,"fdom",16.7586488882518,"driver"
"4",2023-01-11,1,2023-01-08,-3,"fdom",16.7781317384929,"driver"
"5",2023-01-12,1,2023-01-08,-4,"fdom",16.7772318562023,"driver"
"6",2023-01-13,1,2023-01-08,-5,"fdom",16.7885589813979,"driver"
"7",2023-01-14,1,2023-01-08,-6,"fdom",16.7960906866788,"driver"
"8",2023-01-15,1,2023-01-08,-7,"fdom",16.7763555588872,"driver"
"9",2023-01-16,1,2023-01-08,-8,"fdom",16.7760503509936,"driver"
"10",2023-01-17,1,2023-01-08,-9,"fdom",16.7639927230576,"driver"
"11",2023-01-18,1,2023-01-08,-10,"fdom",16.7689926092009,"driver"
"12",2023-01-19,1,2023-01-08,-11,"fdom",16.7795407906979,"driver"
"13",2023-01-20,1,2023-01-08,-12,"fdom",16.7953037685765,"driver"
"14",2023-01-21,1,2023-01-08,-13,"fdom",16.8190330580823,"driver"
"15",2023-01-22,1,2023-01-08,-14,"fdom",16.8418387622334,"driver"
"16",2023-01-23,1,2023-01-08,-15,"fdom",16.8616460911939,"driver"
"17",2023-01-24,1,2023-01-08,-16,"fdom",16.8604509475998,"driver"
"18",2023-01-08,2,2023-01-08,0,"fdom",16.7466433566434,"driver"
"19",2023-01-09,2,2023-01-08,-1,"fdom",16.7404839836648,"driver"
"20",2023-01-10,2,2023-01-08,-2,"fdom",16.7470308915813,"driver"
"21",2023-01-11,2,2023-01-08,-3,"fdom",16.7615095331909,"driver"
"22",2023-01-12,2,2023-01-08,-4,"fdom",16.789413865974,"driver"
"23",2023-01-13,2,2023-01-08,-5,"fdom",16.8204722666312,"driver"
"24",2023-01-14,2,2023-01-08,-6,"fdom",16.8466203668907,"driver"
"25",2023-01-15,2,2023-01-08,-7,"fdom",16.8497587630975,"driver"
"26",2023-01-16,2,2023-01-08,-8,"fdom",16.8371623482696,"driver"
"27",2023-01-17,2,2023-01-08,-9,"fdom",16.8296146581742,"driver"
"28",2023-01-18,2,2023-01-08,-10,"fdom",16.8394033548875,"driver"
"29",2023-01-19,2,2023-01-08,-11,"fdom",16.8382958319939,"driver"
"30",2023-01-20,2,2023-01-08,-12,"fdom",16.8381542088085,"driver"
"31",2023-01-21,2,2023-01-08,-13,"fdom",16.8431035979535,"driver"
"32",2023-01-22,2,2023-01-08,-14,"fdom",16.8471956529213,"driver"
