"","forecast_date","ensemble_member","reference_datetime","Horizon","forecast_variable","value","uc_type"
"1",2023-01-10,1,2023-01-10,0,"fdom",16.588432736482,"total"
"2",2023-01-11,1,2023-01-10,-1,"fdom",16.3823826746967,"total"
"3",2023-01-12,1,2023-01-10,-2,"fdom",15.4510526453912,"total"
"4",2023-01-13,1,2023-01-10,-3,"fdom",16.3830596611954,"total"
"5",2023-01-14,1,2023-01-10,-4,"fdom",16.0762132269914,"total"
"6",2023-01-15,1,2023-01-10,-5,"fdom",16.1129243555745,"total"
"7",2023-01-16,1,2023-01-10,-6,"fdom",15.6267185960135,"total"
"8",2023-01-17,1,2023-01-10,-7,"fdom",16.0394619236477,"total"
"9",2023-01-18,1,2023-01-10,-8,"fdom",15.8775446896001,"total"
"10",2023-01-19,1,2023-01-10,-9,"fdom",15.7158011892622,"total"
"11",2023-01-20,1,2023-01-10,-10,"fdom",15.7623963643776,"total"
"12",2023-01-21,1,2023-01-10,-11,"fdom",15.5229617498769,"total"
"13",2023-01-22,1,2023-01-10,-12,"fdom",15.7338339414515,"total"
"14",2023-01-23,1,2023-01-10,-13,"fdom",15.3390753062317,"total"
"15",2023-01-24,1,2023-01-10,-14,"fdom",15.7221333057079,"total"
"16",2023-01-25,1,2023-01-10,-15,"fdom",14.9166188995571,"total"
"17",2023-01-26,1,2023-01-10,-16,"fdom",15.3066323800089,"total"
"18",2023-01-10,2,2023-01-10,0,"fdom",16.8023452317307,"total"
"19",2023-01-11,2,2023-01-10,-1,"fdom",15.668717175059,"total"
"20",2023-01-12,2,2023-01-10,-2,"fdom",15.1044360265586,"total"
"21",2023-01-13,2,2023-01-10,-3,"fdom",15.0139671042866,"total"
"22",2023-01-14,2,2023-01-10,-4,"fdom",13.611934378696,"total"
"23",2023-01-15,2,2023-01-10,-5,"fdom",12.5757207639924,"total"
"24",2023-01-16,2,2023-01-10,-6,"fdom",11.6650785460553,"total"
"25",2023-01-17,2,2023-01-10,-7,"fdom",12.0476971786423,"total"
"26",2023-01-18,2,2023-01-10,-8,"fdom",12.1418782834082,"total"
"27",2023-01-19,2,2023-01-10,-9,"fdom",11.7579452060093,"total"
"28",2023-01-20,2,2023-01-10,-10,"fdom",11.2864455625935,"total"
"29",2023-01-21,2,2023-01-10,-11,"fdom",11.0153289146704,"total"
"30",2023-01-22,2,2023-01-10,-12,"fdom",10.2201518093806,"total"
"31",2023-01-23,2,2023-01-10,-13,"fdom",10.1105116442476,"total"
"32",2023-01-24,2,2023-01-10,-14,"fdom",9.35341210645445,"total"
"33",2023-01-25,2,2023-01-10,-15,"fdom",8.38586440288142,"total"
"34",2023-01-26,2,2023-01-10,-16,"fdom",8.94521167225026,"total"
"35",2023-01-10,3,2023-01-10,0,"fdom",16.5733911945993,"total"
"36",2023-01-11,3,2023-01-10,-1,"fdom",16.4602507841042,"total"
